created,text,retwc,hashtag,followers,friends,polarity,sentiment
11/13/2019 7:36,"b'RT @INCIndia: Even after a full term of being in govt, AAP has failed to fulfill its promise of increasing the fleet of buses to 11,000. Wh\xe2\x80\xa6'",354,None,507,17,-0.075,0
11/12/2019 11:07,"b'RT @devendrayadvinc: Pollution breaks all previous records as failing to check &amp; ensure ban on demolition, construction &amp; garbage burning,\xe2\x80\xa6'",104,None,20,179,-0.166666667,0
11/12/2019 9:31,"b'RT @devendrayadvinc: Pollution breaks all previous records as failing to check &amp; ensure ban on demolition, construction &amp; garbage burning,\xe2\x80\xa6'",104,None,0,2,-0.166666667,0
11/12/2019 9:04,"b'RT @devendrayadvinc: Pollution breaks all previous records as failing to check &amp; ensure ban on demolition, construction &amp; garbage burning,\xe2\x80\xa6'",104,None,0,5,-0.166666667,0
11/11/2019 12:27,"b'RT @devendrayadvinc: Pollution breaks all previous records as failing to check &amp; ensure ban on demolition, construction &amp; garbage burning,\xe2\x80\xa6'",104,None,0,2,-0.166666667,0
11/11/2019 10:37,"b'RT @gursimranmand: Airpollution is 365days problem becoming a major public health emergency,recording more than 130 poor air quality days e\xe2\x80\xa6'",9,None,7,10,0.1225,4
11/10/2019 7:57,"b'RT @devendrayadvinc: Pollution breaks all previous records as failing to check &amp; ensure ban on demolition, construction &amp; garbage burning,\xe2\x80\xa6'",104,None,3,16,-0.166666667,0
11/9/2019 18:36,"b'RT @INCIndia: Even after a full term of being in govt, AAP has failed to fulfill its promise of increasing the fleet of buses to 11,000. Wh\xe2\x80\xa6'",354,None,1067,4988,-0.075,0
11/9/2019 15:13,"b'RT @devendrayadvinc: Pollution breaks all previous records as failing to check &amp; ensure ban on demolition, construction &amp; garbage burning,\xe2\x80\xa6'",104,None,0,8,-0.166666667,0
11/9/2019 12:38,"b'RT @devendrayadvinc: Pollution breaks all previous records as failing to check &amp; ensure ban on demolition, construction &amp; garbage burning,\xe2\x80\xa6'",104,None,27,32,-0.166666667,0
11/9/2019 10:49,b'RT @LambaAlka: #aapbjpchokedelhi @INCDelhi @INCIndia \nOpinion | How Sheila Dikshit rolled out the world\xe2\x80\x99s biggest clean air project https:/\xe2\x80\xa6',74,aapbjpchokedelhi,44,154,0.366666667,4
11/9/2019 10:26,"b'RT @devendrayadvinc: Pollution breaks all previous records as failing to check &amp; ensure ban on demolition, construction &amp; garbage burning,\xe2\x80\xa6'",104,None,7,10,-0.166666667,0
